ad_ed	total	reporting	candidate|Walter T. Mosley III	candidate|Phara Souffrant Forrest	candidate|Write-In	absentee|Phara Souffrant Forrest	absentee|Walter T. Mosley III	absentee|Write-In
57-001	68	99.00%	53	15	0	9	16	0
57-002	118	99.00%	98	20	0	5	14	0
57-003	111	99.00%	92	18	1	4	11	0
57-004	77	99.00%	32	45	0	38	18	0
57-005	32	99.00%	27	5	0	4	3	0
57-006	16	99.00%	13	3	0	20	69	0
57-007	52	99.00%	48	4	0	2	9	0
57-008	71	99.00%	48	22	1	27	16	0
57-009	132	99.00%	75	57	0	32	37	0
57-010	213	99.00%	124	88	1	114	103	0
57-011	121	99.00%	87	34	0	36	67	0
57-012	21	99.00%	17	4	0	19	97	0
57-013	19	99.00%	17	2	0	26	66	1
57-014	89	99.00%	42	47	0	70	48	0
57-015	130	99.00%	57	73	0	92	47	0
57-016	204	99.00%	114	90	0	123	59	0
57-017	218	99.00%	140	78	0	124	86	0
57-018	224	99.00%	151	72	1	67	91	0
57-019	91	99.00%	62	19	10	15	7	0
57-020	0	99.00%	0	0	0	0	0	0
57-021	155	99.00%	56	98	0	100	24	0
57-022	158	99.00%	84	67	7	77	22	1
57-023	23	99.00%	0	23	0	29	4	0
57-024	169	99.00%	88	81	0	96	72	0
57-025	233	99.00%	92	141	0	164	78	0
57-026	180	99.00%	90	89	1	135	61	0
57-027	39	99.00%	12	27	0	144	85	0
57-028	44	99.00%	24	20	0	147	96	0
57-029	87	99.00%	51	36	0	144	140	0
57-030	207	99.00%	170	37	0	25	44	0
57-031	350	99.00%	293	57	0	44	75	0
57-032	90	99.00%	75	15	0	1	8	0
57-033	74	99.00%	59	15	0	1	5	0
57-034	87	99.00%	58	29	0	167	155	0
57-035	42	99.00%	23	19	0	173	124	0
57-036	188	99.00%	76	112	0	131	29	0
57-037	135	99.00%	57	78	0	93	14	0
57-038	194	99.00%	71	123	0	151	62	0
57-039	42	99.00%	27	15	0	189	146	0
57-040	52	99.00%	25	27	0	165	125	0
57-041	44	99.00%	18	26	0	202	141	1
57-042	44	99.00%	24	20	0	136	133	0
57-043	211	99.00%	85	126	0	144	92	0
57-044	188	99.00%	112	76	0	72	47	0
57-045	182	99.00%	122	60	0	40	56	0
57-046	152	99.00%	119	33	0	26	23	0
57-047	92	99.00%	36	56	0	98	34	1
57-048	207	99.00%	92	113	2	99	59	0
57-049	216	99.00%	88	128	0	106	45	0
57-050	159	99.00%	68	90	1	101	35	0
57-051	173	99.00%	66	107	0	107	24	0
57-052	122	99.00%	50	72	0	50	21	0
57-053	171	99.00%	85	86	0	44	24	0
57-054	256	99.00%	118	136	2	99	39	0
57-055	135	99.00%	63	72	0	78	21	0
57-056	178	99.00%	75	103	0	101	35	0
57-057	105	99.00%	42	63	0	126	51	0
57-058	169	99.00%	61	108	0	82	25	0
57-059	113	99.00%	43	70	0	77	25	0
57-060	88	99.00%	33	55	0	122	27	0
57-061	217	99.00%	89	128	0	176	91	0
57-062	85	99.00%	36	49	0	92	34	0
57-063	132	99.00%	54	78	0	93	73	0
57-064	182	99.00%	72	110	0	174	64	0
57-065	146	99.00%	39	107	0	139	37	1
57-066	166	99.00%	66	100	0	90	36	0
57-067	163	99.00%	74	89	0	78	26	0
57-068	211	99.00%	89	122	0	109	38	0
57-069	229	99.00%	88	141	0	101	46	0
57-070	226	99.00%	90	135	1	141	65	0
57-071	95	99.00%	49	46	0	76	65	0
57-072	150	99.00%	60	90	0	162	54	0
57-073	126	99.00%	57	69	0	88	37	0
57-074	179	99.00%	78	100	1	113	63	0
57-075	190	99.00%	93	97	0	98	52	0
57-076	201	99.00%	105	96	0	75	68	0
57-077	64	99.00%	38	26	0	37	32	1
57-078	191	99.00%	106	84	1	59	51	0
57-079	154	99.00%	76	78	0	71	30	0
57-080	184	99.00%	82	102	0	97	41	0
57-081	163	99.00%	75	88	0	81	39	0
57-082	113	99.00%	44	69	0	34	26	0
57-083	133	99.00%	87	46	0	56	22	0
57-084	149	99.00%	64	84	1	79	34	0
57-085	172	99.00%	90	82	0	50	39	0
57-086	99	99.00%	42	57	0	26	10	0
57-087	201	99.00%	102	99	0	80	34	0
57-088	112	99.00%	40	72	0	46	22	0
57-089	155	99.00%	103	52	0	41	24	0
57-090	294	99.00%	237	57	0	31	49	1
57-091	172	99.00%	125	47	0	9	17	0
57-092	181	99.00%	109	70	2	69	51	0
57-093	141	99.00%	84	56	1	50	35	0
57-094	77	99.00%	26	51	0	36	16	0
57-095	40	99.00%	23	17	0	71	73	0
57-096	113	99.00%	61	52	0	60	21	0
57-097	77	99.00%	64	13	0	2	14	0
57-098	90	99.00%	73	17	0	4	9	0
57-099	122	99.00%	52	70	0	84	24	0
57-100	148	99.00%	71	77	0	76	19	0
57-101	205	99.00%	102	100	3	78	28	0
57-102	137	99.00%	49	88	0	71	32	0
57-103	113	99.00%	61	52	0	113	48	0
57-104	196	99.00%	60	136	0	174	76	1
57-105	159	99.00%	69	90	0	79	27	0
57-106	0	99.00%	0	0	0	0	0	0
