ad_ed	total	reporting	candidate|Julia Salazar	candidate|Andy J. Marte	candidate|Write-In	absentee|Andy J. Marte	absentee|Julia Salazar	absentee|Write-In
50-003	197	99.00%	175	22	0	10	160	0
50-004	55	99.00%	50	5	0	1	91	1
50-005	148	99.00%	141	7	0	12	136	2
50-006	117	99.00%	109	7	1	8	149	0
50-007	101	99.00%	93	8	0	6	88	0
50-008	127	99.00%	118	9	0	7	120	1
50-009	142	99.00%	120	22	0	13	124	0
50-011	84	99.00%	50	33	1	5	4	0
50-012	99	99.00%	90	9	0	9	126	0
50-015	83	99.00%	78	5	0	9	76	0
50-016	126	99.00%	81	45	0	2	7	0
50-017	127	99.00%	78	47	2	3	41	0
50-018	112	99.00%	107	5	0	8	67	0
50-019	139	99.00%	134	5	0	5	121	1
50-020	114	99.00%	103	9	2	7	115	1
50-021	147	99.00%	136	10	1	10	123	1
50-022	100	99.00%	91	9	0	2	72	0
50-023	0	99.00%	0	0	0	0	0	0
50-025	34	99.00%	28	6	0	2	29	0
50-043	99	99.00%	88	11	0	7	93	0
50-044	89	99.00%	76	12	1	9	82	0
50-045	19	99.00%	15	4	0	2	18	1
50-046	130	99.00%	118	12	0	10	91	0
50-049	53	99.00%	48	5	0	3	33	0
50-050	106	99.00%	95	11	0	3	49	0
50-051	98	99.00%	92	6	0	6	35	0
50-052	117	99.00%	105	12	0	3	30	0
50-053	64	99.00%	60	4	0	9	69	0
50-054	65	99.00%	53	12	0	3	26	0
50-056	17	99.00%	14	3	0	0	41	0
50-057	93	99.00%	72	19	2	3	15	0
50-058	75	99.00%	63	12	0	0	8	0
50-059	95	99.00%	64	30	1	4	47	0
50-060	53	99.00%	30	22	1	0	14	0
50-061	86	99.00%	60	25	1	5	12	0
50-062	55	99.00%	37	17	1	4	14	0
50-063	83	99.00%	56	26	1	1	6	0
50-081	17	99.00%	14	2	1	2	3	0
50-097	108	99.00%	102	6	0	11	84	0
50-098	75	99.00%	66	9	0	6	42	1
50-102	33	99.00%	25	8	0	5	38	0
53-001	80	99.00%	78	2	0	0	52	0
53-002	47	99.00%	43	4	0	4	23	0
53-003	75	99.00%	72	3	0	5	53	0
53-004	104	99.00%	97	7	0	4	50	0
53-005	81	99.00%	71	10	0	5	51	1
53-006	34	99.00%	30	4	0	3	23	0
53-007	49	99.00%	45	4	0	4	94	0
53-008	57	99.00%	54	3	0	4	141	0
53-009	69	99.00%	57	12	0	10	82	0
53-010	54	99.00%	44	9	1	11	62	0
53-011	33	99.00%	29	4	0	6	56	0
53-012	42	99.00%	40	2	0	7	79	1
53-013	127	99.00%	113	14	0	3	53	0
53-015	52	99.00%	38	14	0	2	18	0
53-016	129	99.00%	116	13	0	4	90	1
53-017	129	99.00%	122	7	0	3	62	2
53-018	149	99.00%	139	10	0	10	98	0
53-019	109	99.00%	95	13	1	6	109	0
53-020	131	99.00%	115	16	0	12	94	0
53-021	138	99.00%	116	22	0	2	26	0
53-022	148	99.00%	133	15	0	7	62	0
53-023	144	99.00%	122	22	0	9	91	1
53-024	80	99.00%	52	27	1	7	12	0
53-025	145	99.00%	93	52	0	16	55	0
53-026	81	99.00%	56	25	0	8	19	0
53-027	147	99.00%	125	21	1	4	66	0
53-028	116	99.00%	103	13	0	4	48	0
53-029	81	99.00%	73	8	0	0	52	0
53-030	161	99.00%	137	23	1	4	98	0
53-031	145	99.00%	97	48	0	3	9	0
53-032	111	99.00%	94	17	0	4	48	0
53-033	117	99.00%	105	12	0	7	135	0
53-034	125	99.00%	114	11	0	8	115	0
53-035	124	99.00%	118	6	0	3	82	0
53-036	132	99.00%	119	12	1	7	120	0
53-037	139	99.00%	137	2	0	6	88	0
53-038	41	99.00%	37	3	1	0	21	1
53-039	137	99.00%	115	22	0	3	112	0
53-040	46	99.00%	30	16	0	4	7	0
53-041	89	99.00%	67	22	0	0	3	0
53-042	59	99.00%	41	18	0	0	4	0
53-043	81	99.00%	61	20	0	2	2	0
53-044	137	99.00%	124	13	0	6	48	0
53-045	191	99.00%	156	35	0	4	45	0
53-046	216	99.00%	190	25	1	9	144	0
53-047	145	99.00%	136	8	1	4	52	0
53-048	114	99.00%	111	3	0	3	81	0
53-049	31	99.00%	28	3	0	0	14	0
53-050	105	99.00%	93	11	1	3	82	0
53-051	79	99.00%	60	19	0	0	3	0
53-052	19	99.00%	18	1	0	0	10	0
53-053	115	99.00%	100	15	0	1	70	0
53-054	101	99.00%	90	11	0	4	102	0
53-055	102	99.00%	95	6	1	6	105	0
53-056	157	99.00%	143	14	0	1	82	0
53-057	146	99.00%	134	12	0	1	97	1
53-058	116	99.00%	111	5	0	6	84	0
53-059	177	99.00%	161	16	0	4	93	0
53-060	172	99.00%	161	9	2	4	96	0
53-061	117	99.00%	105	11	1	5	45	0
53-062	40	99.00%	30	10	0	2	13	0
53-063	145	99.00%	141	4	0	1	156	0
53-064	84	99.00%	75	9	0	12	91	0
53-065	97	99.00%	87	10	0	9	76	0
53-066	88	99.00%	81	7	0	0	78	0
53-067	127	99.00%	117	10	0	4	130	0
53-068	77	99.00%	72	5	0	4	73	0
53-069	96	99.00%	84	12	0	5	67	0
53-070	144	99.00%	128	15	1	9	53	0
53-071	78	99.00%	57	21	0	1	18	0
53-072	40	99.00%	35	5	0	2	125	0
53-073	58	99.00%	50	8	0	4	28	0
53-074	140	99.00%	114	26	0	3	20	0
53-075	56	99.00%	43	13	0	1	13	0
53-076	151	99.00%	141	10	0	5	112	0
53-077	127	99.00%	111	16	0	1	74	0
53-079	59	99.00%	49	9	1	2	17	1
53-080	155	99.00%	140	14	1	1	54	0
53-081	32	99.00%	24	8	0	1	3	0
53-082	70	99.00%	56	14	0	13	113	0
53-083	80	99.00%	71	9	0	1	29	0
53-084	69	99.00%	58	11	0	11	68	0
53-085	67	99.00%	56	11	0	10	28	0
53-086	91	99.00%	45	46	0	3	18	0
53-087	139	99.00%	123	14	2	5	75	0
53-088	135	99.00%	126	7	2	1	123	0
53-089	0	99.00%	0	0	0	0	0	0
54-001	36	99.00%	30	6	0	1	1	0
54-007	126	99.00%	104	21	1	2	48	0
54-008	85	99.00%	62	23	0	1	23	1
54-009	101	99.00%	76	25	0	3	12	0
54-010	117	99.00%	93	24	0	2	22	0
54-011	102	99.00%	90	12	0	5	22	0
54-012	162	99.00%	145	16	1	1	55	0
54-013	112	99.00%	104	8	0	2	61	0
54-014	12	99.00%	11	1	0	1	10	0
54-016	10	99.00%	10	0	0	1	7	0
54-017	38	99.00%	33	5	0	0	7	0
54-018	3	99.00%	2	1	0	0	0	0
54-019	76	99.00%	60	16	0	1	18	0
54-020	140	99.00%	116	24	0	2	46	0
54-021	91	99.00%	82	7	2	3	33	0
54-022	116	99.00%	100	16	0	2	30	0
54-023	122	99.00%	107	13	2	1	34	0
54-024	130	99.00%	120	10	0	10	54	0
54-025	160	99.00%	147	13	0	3	90	0
54-027	99	99.00%	80	19	0	1	38	0
54-028	140	99.00%	113	27	0	3	42	0
54-029	120	99.00%	95	25	0	7	48	0
54-030	104	99.00%	84	20	0	2	31	0
54-031	75	99.00%	64	11	0	8	27	0
54-032	78	99.00%	69	9	0	0	29	0
54-033	88	99.00%	75	13	0	2	52	0
54-034	93	99.00%	74	19	0	1	40	0
54-035	89	99.00%	74	15	0	6	38	0
54-036	98	99.00%	87	10	1	5	43	0
54-037	99	99.00%	83	16	0	5	27	0
54-038	112	99.00%	89	22	1	4	42	0
54-039	86	99.00%	79	7	0	4	34	0
54-040	23	99.00%	17	6	0	4	21	0
54-041	98	99.00%	81	17	0	14	25	0
54-042	93	99.00%	74	19	0	4	13	0
54-043	96	99.00%	74	22	0	5	36	0
54-044	63	99.00%	43	20	0	1	16	0
54-045	71	99.00%	58	13	0	17	17	0
54-046	106	99.00%	81	25	0	2	13	0
54-047	47	99.00%	39	8	0	0	8	0
54-048	60	99.00%	50	10	0	4	22	0
54-049	74	99.00%	57	17	0	6	26	0
54-050	79	99.00%	61	18	0	6	19	0
54-051	84	99.00%	62	22	0	1	17	0
54-052	66	99.00%	47	19	0	5	19	0
54-053	41	99.00%	31	10	0	4	5	0
54-054	45	99.00%	32	13	0	2	13	0
54-055	34	99.00%	29	4	1	3	14	0
54-056	46	99.00%	39	7	0	1	13	0
54-057	73	99.00%	56	15	2	4	9	0
54-058	63	99.00%	43	20	0	3	24	0
54-059	67	99.00%	52	15	0	1	8	0
54-060	101	99.00%	83	16	2	2	45	0
54-061	100	99.00%	76	24	0	9	33	0
54-062	85	99.00%	74	11	0	3	34	0
54-063	109	99.00%	91	17	1	6	57	0
54-064	94	99.00%	80	14	0	5	40	0
54-065	58	99.00%	41	16	1	4	5	0
54-066	78	99.00%	54	23	1	3	20	0
54-067	103	99.00%	76	27	0	2	8	0
54-068	87	99.00%	64	22	1	6	14	0
54-069	78	99.00%	55	23	0	4	23	0
54-070	82	99.00%	56	26	0	0	4	0
54-073	103	99.00%	92	11	0	4	43	0
54-074	113	99.00%	100	13	0	3	33	0
54-075	31	99.00%	25	6	0	0	4	0
54-076	102	99.00%	82	20	0	7	20	0
54-077	59	99.00%	54	5	0	1	19	0
54-078	0	99.00%	0	0	0	0	0	0
54-079	48	99.00%	37	11	0	1	6	0
54-080	59	99.00%	43	15	1	5	14	0
54-081	58	99.00%	46	12	0	2	15	0
54-082	61	99.00%	43	17	1	0	7	0
54-083	78	99.00%	57	21	0	3	16	0
54-084	101	99.00%	98	3	0	1	40	0
54-085	87	99.00%	75	11	1	1	24	0
54-086	95	99.00%	78	17	0	2	29	0
54-087	58	99.00%	51	7	0	1	30	0
54-088	96	99.00%	81	15	0	0	22	0
54-089	85	99.00%	72	13	0	3	29	0
55-001	0	99.00%	0	0	0	0	0	0
55-003	37	99.00%	29	7	1	0	9	0
55-006	87	99.00%	60	26	1	3	6	0
55-007	91	99.00%	81	10	0	7	38	0
55-014	199	99.00%	152	47	0	4	31	0
55-015	110	99.00%	87	23	0	1	42	0
55-016	140	99.00%	110	30	0	2	23	0
55-026	32	99.00%	20	12	0	0	12	0
55-041	47	99.00%	39	8	0	1	4	0
