ad_ed	total	reporting	candidate|Jabari Brisport	candidate|Tremaine S. Wright	candidate|Jason Salmon	candidate|Write-In	absentee|Jabari Brisport	absentee|Jason Salmon	absentee|Tremaine S. Wright	absentee|Write-In
43-012	194	99.00%	105	79	10	0	51	3	26	0
43-045	219	99.00%	122	86	10	1	83	5	26	0
43-046	181	99.00%	109	66	6	0	85	6	11	0
43-047	124	99.00%	70	47	7	0	43	4	10	0
43-048	117	99.00%	54	58	5	0	19	1	14	0
43-049	184	99.00%	71	101	12	0	32	5	9	0
43-050	209	99.00%	102	98	9	0	61	5	23	0
43-051	227	99.00%	107	93	27	0	39	3	10	1
43-072	136	99.00%	61	68	7	0	57	0	14	0
43-087	189	99.00%	118	57	14	0	87	0	22	0
50-001	57	99.00%	8	35	8	6	7	2	5	0
50-014	55	99.00%	23	26	6	0	6	2	5	0
50-083	103	99.00%	54	36	10	3	36	2	10	0
50-084	31	99.00%	23	4	2	2	10	0	1	0
50-085	29	99.00%	25	3	1	0	26	4	1	0
50-086	0	99.00%	0	0	0	0	0	0	0	0
50-088	24	99.00%	21	3	0	0	22	1	1	0
50-089	140	99.00%	98	35	7	0	91	7	18	0
50-090	120	99.00%	98	17	5	0	60	2	17	0
50-091	91	99.00%	63	19	9	0	68	7	9	0
50-092	117	99.00%	89	20	7	1	58	7	13	0
50-093	32	99.00%	21	8	3	0	11	1	1	0
50-099	110	99.00%	82	16	12	0	84	14	11	0
50-104	0	99.00%	0	0	0	0	0	0	0	0
50-106	0	99.00%	0	0	0	0	0	0	0	0
51-008	31	99.00%	21	5	5	0	52	10	16	0
51-044	27	99.00%	19	7	1	0	34	0	12	0
51-045	5	99.00%	3	1	1	0	0	0	2	0
51-046	2	99.00%	1	0	1	0	6	0	3	0
51-048	0	99.00%	0	0	0	0	0	0	0	0
51-049	150	99.00%	101	34	12	3	72	15	23	0
51-050	40	99.00%	21	13	6	0	13	0	5	0
51-051	87	99.00%	41	28	18	0	11	0	10	1
51-052	55	99.00%	26	10	19	0	19	3	5	0
51-053	42	99.00%	28	11	3	0	36	2	14	0
51-054	76	99.00%	40	26	10	0	18	5	6	0
51-055	112	99.00%	88	13	11	0	81	9	22	0
51-068	29	99.00%	21	5	3	0	12	3	5	0
51-069	82	99.00%	32	40	10	0	13	2	4	0
51-070	105	99.00%	31	57	16	1	12	2	10	0
51-071	119	99.00%	39	64	16	0	8	2	10	0
51-072	141	99.00%	95	36	10	0	64	2	13	0
51-073	132	99.00%	76	44	12	0	34	6	7	0
51-074	68	99.00%	17	34	16	1	2	1	8	0
51-081	54	99.00%	32	16	6	0	37	4	13	0
51-084	0	99.00%	0	0	0	0	0	0	0	0
51-086	0	99.00%	0	0	0	0	0	0	0	0
51-087	0	99.00%	0	0	0	0	0	0	0	0
52-003	31	99.00%	21	10	0	0	22	7	8	0
52-022	65	99.00%	31	27	7	0	33	11	17	1
52-023	108	99.00%	42	46	20	0	58	22	53	1
52-024	74	99.00%	43	21	10	0	29	6	6	0
52-025	153	99.00%	86	51	16	0	116	24	69	0
52-027	304	99.00%	220	62	21	1	274	51	102	2
52-028	103	99.00%	55	41	7	0	92	23	50	0
52-029	96	99.00%	59	24	13	0	72	22	41	0
52-030	131	99.00%	77	38	16	0	106	23	46	0
52-031	133	99.00%	75	43	15	0	75	24	58	0
52-032	129	99.00%	60	51	17	1	83	22	28	0
52-033	98	99.00%	51	37	10	0	74	6	36	0
52-048	98	99.00%	69	20	9	0	86	17	39	0
52-049	107	99.00%	74	21	12	0	80	15	32	0
52-050	81	99.00%	54	19	7	1	60	18	19	0
52-051	116	99.00%	41	53	22	0	15	1	18	0
52-052	98	99.00%	32	55	11	0	7	0	4	0
52-053	139	99.00%	59	69	11	0	53	10	17	0
52-054	87	99.00%	31	47	9	0	6	3	3	0
52-055	122	99.00%	85	27	10	0	64	8	24	0
52-056	92	99.00%	61	25	6	0	63	17	21	1
52-057	134	99.00%	88	30	16	0	80	17	37	0
52-058	96	99.00%	67	22	7	0	81	7	25	0
52-059	142	99.00%	88	40	14	0	121	17	47	0
52-060	109	99.00%	72	34	2	1	75	10	31	1
52-061	117	99.00%	81	28	7	1	88	22	39	0
52-062	73	99.00%	56	11	6	0	71	18	37	0
52-063	0	99.00%	0	0	0	0	0	0	0	0
52-089	133	99.00%	98	29	6	0	151	29	54	2
52-090	140	99.00%	90	35	15	0	149	21	52	3
52-091	84	99.00%	56	23	5	0	83	3	20	0
52-095	18	99.00%	11	2	5	0	20	2	4	0
52-096	128	99.00%	88	27	13	0	95	13	38	1
52-097	158	99.00%	99	45	13	1	122	22	70	0
52-098	127	99.00%	78	29	20	0	87	10	44	0
52-099	126	99.00%	86	28	12	0	105	17	39	0
52-100	99	99.00%	71	24	4	0	89	15	29	0
52-104	89	99.00%	27	55	7	0	25	17	54	0
52-106	9	99.00%	7	1	1	0	3	1	0	0
52-107	93	99.00%	67	19	7	0	83	18	34	0
52-108	114	99.00%	72	31	11	0	90	13	50	0
52-109	79	99.00%	55	14	10	0	44	1	18	0
52-112	122	99.00%	86	24	12	0	104	12	29	0
52-115	68	99.00%	25	36	7	0	49	11	40	0
52-118	0	99.00%	0	0	0	0	0	0	0	0
52-121	0	99.00%	0	0	0	0	0	0	0	0
52-124	0	99.00%	0	0	0	0	0	0	0	0
52-125	0	99.00%	0	0	0	0	0	0	0	0
52-126	0	99.00%	0	0	0	0	0	0	0	0
54-015	72	99.00%	39	32	1	0	20	0	3	0
