ad_ed	total_reg_dems	absentee_requested	totalAbsentee
57-001	696	55	25
57-002	849	60	19
57-003	732	43	15
57-004	346	108	56
57-005	198	19	7
57-006	780	60	89
57-007	599	34	11
57-008	724	89	43
57-009	733	136	69
57-010	1104	392	217
57-011	759	162	103
57-012	775	54	116
57-013	730	40	93
57-014	750	187	118
57-015	701	203	139
57-016	871	276	182
57-017	980	336	210
57-018	885	263	158
57-019	429	40	22
57-020	40	5	0
57-021	950	206	123
57-022	846	156	100
57-023	642	57	33
57-024	814	255	168
57-025	1230	410	242
57-026	853	278	196
57-027	690	198	229
57-028	628	175	243
57-029	739	228	284
57-030	605	149	69
57-031	1017	259	119
57-032	688	51	9
57-033	498	32	6
57-034	879	299	322
57-035	946	259	297
57-036	976	240	160
57-037	827	181	107
57-038	939	305	213
57-039	920	265	335
57-040	798	226	290
57-041	887	244	344
57-042	781	166	269
57-043	1072	355	236
57-044	896	201	119
57-045	853	148	96
57-046	698	100	49
57-047	517	190	133
57-048	842	234	158
57-049	900	207	151
57-050	761	181	136
57-051	862	199	131
57-052	731	124	71
57-053	729	128	68
57-054	1028	233	138
57-055	812	143	99
57-056	971	214	136
57-057	789	184	177
57-058	771	174	107
57-059	807	164	102
57-060	683	193	149
57-061	1199	459	267
57-062	520	197	126
57-063	715	243	166
57-064	956	333	238
57-065	591	253	177
57-066	749	195	126
57-067	800	199	104
57-068	966	240	147
57-069	994	238	147
57-070	1018	322	206
57-071	581	211	141
57-072	966	283	216
57-073	583	187	125
57-074	889	274	176
57-075	951	246	150
57-076	796	242	143
57-077	337	115	70
57-078	765	220	110
57-079	679	162	101
57-080	769	241	138
57-081	802	203	120
57-082	548	108	60
57-083	834	133	78
57-084	775	183	113
57-085	771	151	89
57-086	396	73	36
57-087	832	175	114
57-088	633	110	68
57-089	744	128	65
57-090	1350	156	81
57-091	745	64	26
57-092	886	185	120
57-093	653	142	85
57-094	465	76	52
57-095	467	101	144
57-096	586	123	81
57-097	451	46	16
57-098	618	36	13
57-099	837	184	108
57-100	717	162	95
57-101	833	197	106
57-102	629	161	103
57-103	639	219	161
57-104	1077	351	251
57-105	783	177	106
57-106	0	0	0
