ad_ed	total_reg_dems	absentee_requested	totalAbsentee
50-003	1146	316	170
50-004	491	139	93
50-005	775	237	150
50-006	813	242	157
50-007	564	160	94
50-008	741	244	128
50-009	693	207	137
50-011	618	33	9
50-012	671	228	135
50-015	504	164	85
50-016	792	67	9
50-017	760	86	44
50-018	510	142	75
50-019	626	232	127
50-020	601	217	123
50-021	806	256	134
50-022	493	138	74
50-023	65	15	0
50-025	262	57	31
50-043	589	183	100
50-044	577	158	91
50-045	135	34	21
50-046	743	190	101
50-049	358	58	36
50-050	688	116	52
50-051	871	93	41
50-052	782	91	33
50-053	555	124	78
50-054	499	74	29
50-056	302	19	41
50-057	627	53	18
50-058	610	36	8
50-059	807	99	51
50-060	666	48	14
50-061	1086	47	17
50-062	506	39	18
50-063	846	50	7
50-081	147	11	5
50-097	630	183	95
50-098	481	95	49
50-102	273	70	43
53-001	559	95	52
53-002	785	52	27
53-003	833	102	58
53-004	596	111	54
53-005	728	86	57
53-006	149	42	26
53-007	725	82	98
53-008	636	149	145
53-009	788	61	92
53-010	684	44	73
53-011	578	47	62
53-012	714	82	87
53-013	824	100	56
53-015	412	52	20
53-016	881	161	95
53-017	757	118	67
53-018	907	189	108
53-019	664	196	115
53-020	665	201	106
53-021	833	65	28
53-022	798	111	69
53-023	802	136	101
53-024	448	58	19
53-025	917	144	71
53-026	478	66	27
53-027	977	132	70
53-028	843	94	52
53-029	580	77	52
53-030	778	139	102
53-031	805	50	12
53-032	763	97	52
53-033	722	192	142
53-034	702	197	123
53-035	625	162	85
53-036	761	188	127
53-037	623	163	94
53-038	243	33	22
53-039	766	182	115
53-040	531	17	11
53-041	793	14	3
53-042	588	13	4
53-043	741	17	4
53-044	834	99	54
53-045	1001	101	49
53-046	1098	248	153
53-047	803	136	56
53-048	966	144	84
53-049	161	31	14
53-050	750	113	85
53-051	534	16	3
53-052	69	13	10
53-053	705	119	71
53-054	779	132	106
53-055	767	149	111
53-056	921	147	83
53-057	906	142	99
53-058	838	144	90
53-059	882	123	97
53-060	941	174	100
53-061	853	107	50
53-062	288	24	15
53-063	912	211	157
53-064	776	129	103
53-065	622	120	85
53-066	778	106	78
53-067	953	176	134
53-068	694	108	77
53-069	801	121	72
53-070	805	98	62
53-071	642	43	19
53-072	746	121	127
53-073	721	70	32
53-074	819	52	23
53-075	464	25	14
53-076	819	177	117
53-077	832	125	75
53-079	446	56	20
53-080	825	104	55
53-081	421	15	4
53-082	804	110	126
53-083	572	58	30
53-084	662	63	79
53-085	433	64	38
53-086	457	54	21
53-087	842	137	80
53-088	900	173	124
53-089	0	0	0
54-001	259	7	2
54-007	735	88	50
54-008	732	61	25
54-009	694	37	15
54-010	691	47	24
54-011	820	64	27
54-012	684	104	56
54-013	531	108	63
54-014	108	12	11
54-016	35	17	8
54-017	168	12	7
54-018	6	0	0
54-019	729	41	19
54-020	911	93	48
54-021	651	66	36
54-022	704	69	32
54-023	847	77	35
54-024	920	132	64
54-025	964	168	93
54-027	655	62	39
54-028	796	94	45
54-029	750	100	55
54-030	762	77	33
54-031	646	77	35
54-032	603	48	29
54-033	782	80	54
54-034	646	67	41
54-035	652	80	44
54-036	725	77	48
54-037	769	66	32
54-038	667	87	46
54-039	638	86	38
54-040	256	43	25
54-041	857	73	39
54-042	683	30	17
54-043	768	71	41
54-044	750	38	17
54-045	636	53	34
54-046	847	37	15
54-047	680	34	8
54-048	763	56	26
54-049	808	69	32
54-050	788	50	25
54-051	826	33	18
54-052	703	41	24
54-053	698	42	9
54-054	614	31	15
54-055	591	36	17
54-056	544	20	14
54-057	761	35	13
54-058	733	35	27
54-059	708	27	9
54-060	837	89	47
54-061	660	82	42
54-062	734	77	37
54-063	892	124	63
54-064	560	73	45
54-065	696	38	9
54-066	737	38	23
54-067	780	32	10
54-068	914	41	20
54-069	744	50	27
54-070	500	10	4
54-073	657	68	47
54-074	623	82	36
54-075	226	17	4
54-076	870	52	27
54-077	403	37	20
54-078	2	0	0
54-079	475	20	7
54-080	810	44	19
54-081	678	41	17
54-082	596	22	7
54-083	730	42	19
54-084	520	91	41
54-085	689	69	25
54-086	740	60	31
54-087	570	50	31
54-088	590	52	22
54-089	655	72	32
55-001	36	3	0
55-003	198	18	9
55-006	425	26	9
55-007	740	100	45
55-014	716	80	35
55-015	628	82	43
55-016	929	62	25
55-026	241	22	12
55-041	342	18	5
55-043	60	0	0
55-045	693	31	15
55-046	832	49	12
55-050	151	2	2
55-051	72	10	2
55-054	83	3	3
55-112	0	0	0
56-001	677	34	12
56-002	884	34	18
56-003	647	34	13
56-004	664	34	10
56-006	880	63	30
56-007	795	35	12
56-008	857	40	16
56-009	844	39	18
56-010	856	38	10
56-011	899	119	64
56-017	956	109	45
56-020	502	55	33
56-092	19	3	4
60-006	346	16	10
60-010	529	15	4
60-011	84	8	0
60-016	490	21	10
60-018	731	36	10
60-019	415	26	13
60-020	228	24	14
