ad_ed	reporting	candidate|Nick Velkov	candidate|Catherina Gioino	candidate|Tiffany Caban	candidate|John J. Ciafone	candidate|Evie Hantzopoulos	candidate|Leonardo T. Bullaro	candidate|Write-In	total
30-035	27.27%	0	0	0	0	0	0	0	0
30-060	50.00%	0	3	25	3	12	9	0	52
30-061	99.00%	2	7	48	18	41	54	0	170
30-064	27.27%	1	0	18	2	3	0	0	24
30-078	99.00%	1	1	25	4	9	5	0	45
30-082	99.00%	7	10	47	16	43	73	0	196
34-010	99.00%	0	1	12	2	4	4	0	23
34-011	99.00%	3	8	27	7	7	11	0	63
34-039	99.00%	2	2	11	5	1	5	0	26
34-040	99.00%	3	1	8	3	0	10	0	25
34-041	99.00%	2	2	12	2	7	1	0	26
34-042	99.00%	0	5	5	4	5	5	0	24
34-073	99.00%	4	8	35	11	7	3	0	68
35-049	99.00%	0	3	7	3	2	0	0	15
35-050	99.00%	5	7	42	16	9	19	0	98
35-058	66.67%	0	0	0	0	0	0	0	0
35-059	99.00%	0	0	0	0	0	0	0	0
36-001	99.00%	1	4	28	10	50	4	0	97
36-002	99.00%	0	2	29	10	18	0	0	59
36-003	99.00%	0	4	19	2	9	1	0	35
36-004	99.00%	1	6	66	8	32	6	0	119
36-005	99.00%	4	1	50	2	44	4	0	105
36-006	99.00%	5	1	61	11	29	4	1	112
36-007	55.56%	2	3	32	2	12	2	0	53
36-008	55.56%	4	1	33	8	15	5	0	66
36-009	99.00%	1	1	14	0	6	5	0	27
36-010	99.00%	0	0	19	3	8	3	0	33
36-011	99.00%	1	4	44	12	20	4	0	85
36-012	99.00%	3	4	57	11	29	7	0	111
36-013	55.56%	2	4	37	5	14	2	0	64
36-014	99.00%	2	4	38	6	16	4	1	71
36-015	99.00%	6	3	61	7	14	8	1	100
36-016	99.00%	5	6	135	11	46	7	0	210
36-017	55.56%	4	0	32	1	12	0	0	49
36-018	55.56%	2	5	38	3	22	2	0	72
36-019	99.00%	2	8	144	10	44	3	0	211
36-020	55.56%	2	1	24	4	18	2	0	51
36-021	99.00%	3	3	140	17	63	10	1	237
36-022	27.27%	1	4	34	3	25	5	0	72
36-023	27.27%	1	1	22	3	7	1	0	35
36-024	27.27%	1	1	22	4	12	2	0	42
36-025	27.27%	0	2	24	3	15	1	0	45
36-027	27.27%	0	0	29	3	11	3	0	46
36-029	27.27%	0	1	18	5	9	3	0	36
36-030	27.27%	1	0	20	5	4	3	0	33
36-031	27.27%	1	1	11	3	7	2	0	25
36-032	27.27%	0	2	21	2	3	5	0	33
36-033	57.14%	0	1	14	3	14	3	0	35
36-034	99.00%	0	1	23	2	9	1	0	36
36-035	99.00%	0	1	15	5	2	1	0	24
36-036	99.00%	0	3	19	2	8	0	0	32
36-037	99.00%	0	0	20	5	11	3	0	39
36-038	99.00%	0	0	19	1	20	3	0	43
36-039	99.00%	0	0	21	1	6	1	0	29
36-040	37.50%	0	2	30	2	7	2	0	43
36-041	37.50%	0	0	16	1	9	1	0	27
36-042	37.50%	0	0	17	2	5	0	0	24
36-043	27.27%	0	0	1	0	6	7	0	14
36-045	99.00%	1	1	70	7	21	2	0	102
36-046	99.00%	1	2	8	18	8	5	0	42
36-047	99.00%	0	7	21	27	17	8	0	80
36-048	99.00%	2	2	30	13	19	10	0	76
36-049	99.00%	8	4	64	6	35	17	1	135
36-050	99.00%	0	0	0	1	0	2	0	3
36-051	27.27%	0	0	1	0	0	0	0	1
36-052	99.00%	13	11	146	25	62	9	0	266
36-053	57.14%	1	0	22	5	17	6	0	51
36-054	57.14%	2	2	21	13	17	1	0	56
36-055	57.14%	0	3	33	8	24	5	1	74
36-056	99.00%	1	0	15	2	12	2	0	32
36-057	99.00%	1	0	21	1	8	1	0	32
36-058	99.00%	1	0	13	1	7	1	0	23
36-059	99.00%	0	0	32	2	18	1	0	53
36-060	99.00%	0	1	5	2	1	2	0	11
36-061	37.50%	0	0	11	0	4	3	0	18
36-062	37.50%	1	1	13	3	3	1	1	23
36-063	37.50%	0	1	2	4	3	0	0	10
36-066	57.14%	2	1	43	5	15	0	1	67
36-067	37.50%	0	0	9	1	9	1	0	20
36-071	57.14%	0	0	0	0	0	0	0	0
36-072	99.00%	3	8	48	9	16	5	0	89
36-073	55.56%	3	0	35	3	31	3	0	75
36-074	99.00%	4	10	89	18	35	6	0	162
36-075	99.00%	4	0	21	2	13	6	0	46
36-076	99.00%	1	2	25	6	17	5	0	56
36-077	55.56%	5	1	38	5	22	3	0	74
36-078	99.00%	0	0	22	3	11	0	0	36
36-079	57.14%	1	5	26	4	12	3	0	51
36-080	99.00%	2	3	9	3	5	1	0	23
36-081	99.00%	1	2	26	6	18	3	0	56
36-082	99.00%	1	0	10	2	5	1	0	19
36-083	99.00%	1	3	5	12	21	6	0	48
37-001	99.00%	1	7	29	17	20	8	0	82
37-002	99.00%	3	9	44	11	18	4	0	89
37-003	99.00%	1	11	54	5	38	5	1	115
37-004	99.00%	4	9	52	3	29	4	0	101
37-072	99.00%	0	0	0	0	0	0	0	0
37-073	99.00%	0	0	0	0	0	0	0	0
85-035	85.71%	0	0	0	0	0	0	0	0
85-073	37.50%	0	0	0	0	0	0	0	0
85-079	37.50%	0	0	0	0	0	0	0	0
