ad_ed	reporting	candidate|Deirdre M. Levy	candidate|Curtis M. Harris	candidate|Michael Hollingsworth	candidate|Regina A. Kinsey	candidate|Crystal Hudson	candidate|Hector Robertson	candidate|Renee T. Collymore	candidate|Write-In	total
43-013	99.00%	8	16	18	7	152	4	15	2	222
43-035	99.00%	11	18	96	13	63	5	41	0	247
43-036	99.00%	12	10	84	15	52	3	32	0	208
43-037	99.00%	9	15	114	19	59	6	34	0	256
43-038	99.00%	9	19	58	21	114	6	53	0	280
43-039	99.00%	12	15	103	10	132	2	32	0	306
43-040	99.00%	6	5	18	6	159	2	14	1	211
43-041	99.00%	9	9	117	7	60	3	16	0	221
43-042	99.00%	11	10	129	9	91	1	42	1	294
43-043	99.00%	15	18	80	20	116	1	35	1	286
43-044	99.00%	4	8	75	9	46	5	19	0	166
43-051	99.00%	5	23	69	56	67	1	32	0	253
43-057	99.00%	4	2	6	6	216	3	7	0	244
43-058	99.00%	9	15	15	6	75	4	16	0	140
43-059	99.00%	10	9	19	13	132	8	15	0	206
43-060	99.00%	6	5	23	8	157	5	9	0	213
43-061	99.00%	1	2	6	2	14	1	2	0	28
43-062	99.00%	6	6	16	2	176	4	23	0	233
43-063	99.00%	3	10	15	3	113	2	8	0	154
43-064	99.00%	7	10	25	10	76	7	11	1	147
43-065	99.00%	10	15	27	10	67	3	15	0	147
43-077	99.00%	3	9	35	5	83	5	21	0	161
43-084	99.00%	2	5	12	5	166	2	7	0	199
43-085	99.00%	9	7	10	7	188	7	13	0	241
43-086	99.00%	4	3	52	3	21	0	2	0	85
50-014	99.00%	5	6	21	3	22	0	15	0	72
50-087	99.00%	0	0	17	0	9	0	1	0	27
50-088	66.67%	0	1	2	0	0	0	2	0	5
50-089	99.00%	5	13	102	9	85	2	32	0	248
50-090	99.00%	9	4	65	6	54	3	14	1	156
50-091	99.00%	8	3	85	5	67	2	14	0	184
50-092	99.00%	11	8	69	8	85	4	31	1	217
50-093	99.00%	1	3	23	3	9	0	4	0	43
50-094	99.00%	2	1	11	4	10	1	6	0	35
50-099	99.00%	6	10	89	8	88	1	36	0	238
50-103	99.00%	0	0	0	0	0	0	0	0	0
50-104	99.00%	0	0	0	0	0	0	0	0	0
50-107	99.00%	0	0	0	0	0	0	0	0	0
52-003	99.00%	8	4	22	8	24	2	5	1	74
52-063	99.00%	0	0	0	0	0	0	0	0	0
52-073	99.00%	16	9	108	8	152	1	16	1	311
52-074	99.00%	12	8	90	15	145	2	22	0	294
52-075	99.00%	14	12	125	12	193	3	18	1	378
52-113	99.00%	18	19	120	19	181	1	35	0	393
56-067	99.00%	0	0	8	2	6	0	1	0	17
56-073	99.00%	2	4	13	5	6	0	7	2	39
56-076	99.00%	3	2	8	0	14	1	3	1	32
56-077	99.00%	0	1	10	2	20	0	3	0	36
56-078	99.00%	1	4	10	11	20	0	7	0	53
57-001	99.00%	8	11	13	8	32	3	18	0	93
57-002	99.00%	12	17	17	9	44	7	35	0	141
57-003	99.00%	13	11	23	10	39	4	20	0	120
57-006	99.00%	8	8	20	6	18	1	33	1	95
57-007	99.00%	2	10	15	3	20	1	12	0	63
57-008	99.00%	6	12	25	7	34	2	15	0	101
57-009	99.00%	21	18	52	25	65	6	24	1	212
57-010	99.00%	24	15	135	24	177	9	40	2	426
57-011	99.00%	11	13	67	8	84	8	34	0	225
57-012	99.00%	6	16	19	8	27	6	25	1	108
57-013	99.00%	3	11	23	6	22	2	18	0	85
57-014	99.00%	4	3	59	10	76	2	27	0	181
57-015	99.00%	9	8	104	13	109	4	23	0	270
57-016	99.00%	6	16	143	10	145	3	74	0	397
57-017	99.00%	14	12	144	18	192	2	57	0	439
57-018	99.00%	9	14	90	15	136	6	93	1	364
57-023	99.00%	0	0	7	2	1	0	1	0	11
57-024	99.00%	17	9	108	15	127	6	53	0	335
57-025	99.00%	16	10	154	17	136	4	23	0	360
57-026	99.00%	11	7	140	13	109	0	19	2	301
57-027	99.00%	6	7	65	3	79	2	23	0	185
57-028	99.00%	7	3	76	9	100	0	27	2	224
57-029	99.00%	4	5	107	4	133	4	54	0	311
57-030	99.00%	3	16	42	2	90	2	90	0	245
57-031	99.00%	10	16	64	24	162	6	115	1	398
57-032	99.00%	5	7	10	10	20	2	14	0	68
57-033	99.00%	4	6	6	6	20	0	19	0	61
57-034	99.00%	12	10	118	24	176	2	75	2	419
57-035	99.00%	11	11	123	11	121	1	60	0	338
57-038	99.00%	10	14	175	13	131	1	41	2	387
57-039	99.00%	12	12	149	18	134	4	47	0	376
57-040	99.00%	10	3	137	14	137	1	41	1	344
57-041	99.00%	2	6	43	1	41	1	13	0	107
57-042	99.00%	6	12	71	12	71	3	47	1	223
57-043	99.00%	14	6	113	22	122	1	32	1	311
57-044	99.00%	13	15	90	20	120	4	56	0	318
57-045	99.00%	10	23	78	9	70	4	66	0	260
57-046	99.00%	6	16	33	15	70	4	53	0	197
57-047	99.00%	4	3	42	2	33	1	10	0	95
57-048	99.00%	7	17	121	15	107	2	58	1	328
57-049	99.00%	11	7	155	10	122	2	54	0	361
57-050	99.00%	7	9	129	10	92	0	34	0	281
57-054	77.78%	10	12	120	11	89	0	46	2	290
57-059	99.00%	0	0	17	2	7	0	4	0	30
57-060	99.00%	11	9	121	16	90	2	23	1	273
57-061	99.00%	40	9	172	22	236	4	39	2	524
57-062	99.00%	12	8	89	12	64	2	12	0	199
57-063	99.00%	13	7	97	8	163	2	13	1	304
57-064	99.00%	24	17	161	16	178	3	20	0	419
57-065	99.00%	0	0	21	1	18	0	4	0	44
57-066	99.00%	1	2	44	2	19	0	1	0	69
57-067	99.00%	1	1	28	2	24	0	6	0	62
57-068	99.00%	13	22	168	13	77	4	28	0	325
57-069	99.00%	0	5	23	2	19	0	8	0	57
57-070	99.00%	4	2	62	3	69	0	9	0	149
57-071	99.00%	15	6	91	10	132	0	10	1	265
57-072	99.00%	11	13	194	11	108	1	28	2	368
57-073	99.00%	8	7	112	6	119	2	16	0	270
57-074	99.00%	9	8	142	14	137	3	28	0	341
57-075	99.00%	6	7	74	8	67	1	23	0	186
57-076	99.00%	9	7	60	2	101	0	26	0	205
57-077	99.00%	2	2	55	9	79	1	10	0	158
