ad_ed	reporting	candidate|Victor Swinton	candidate|Jacqui Painter	candidate|Cesar Zuniga	candidate|Yu Lin	candidate|Alexa Aviles	candidate|Rodrigo G. Camarena	candidate|Write-In	total
44-012	99.00%	0	4	1	1	23	5	0	34
44-065	99.00%	1	8	4	5	48	9	0	75
44-066	99.00%	6	30	24	19	129	33	0	241
48-001	77.78%	0	0	0	3	0	0	0	3
48-002	77.78%	0	0	2	1	0	0	0	3
49-001	83.33%	9	4	8	55	27	17	0	120
49-002	99.00%	1	2	1	18	4	1	0	27
49-003	99.00%	1	1	4	45	8	3	0	62
49-004	99.00%	1	5	11	43	34	8	1	103
49-005	99.00%	0	1	3	64	13	3	0	84
49-006	99.00%	0	0	0	4	0	1	0	5
49-007	99.00%	0	0	2	11	5	1	0	19
49-008	99.00%	5	2	5	31	22	6	0	71
49-009	77.78%	0	0	1	15	1	0	0	17
49-010	99.00%	3	1	1	55	16	4	0	80
49-011	99.00%	3	0	0	25	2	1	0	31
49-012	99.00%	0	0	4	14	6	3	0	27
49-013	83.33%	0	2	1	10	8	9	0	30
49-014	99.00%	0	0	0	0	0	1	0	1
49-015	99.00%	0	0	1	0	0	0	0	1
49-016	99.00%	0	0	5	15	3	1	0	24
49-017	99.00%	0	1	0	6	1	0	0	8
49-018	99.00%	0	0	0	0	0	0	0	0
49-020	99.00%	3	0	2	25	8	0	0	38
49-030	99.00%	1	0	1	15	4	1	0	22
49-031	99.00%	4	1	2	26	5	4	2	44
49-032	99.00%	3	4	5	11	16	1	0	40
49-033	99.00%	2	1	5	5	2	2	0	17
49-037	99.00%	2	1	4	11	13	1	0	32
49-042	99.00%	0	2	2	7	8	0	0	19
49-061	99.00%	4	3	2	49	17	3	0	78
49-062	99.00%	6	2	8	62	16	1	0	95
49-064	99.00%	2	0	3	23	10	3	0	41
49-066	99.00%	3	0	1	19	4	1	0	28
49-067	99.00%	5	3	6	17	11	4	0	46
49-068	99.00%	2	2	0	29	2	2	0	37
49-069	99.00%	4	3	1	15	5	1	0	29
51-001	99.00%	0	2	9	2	29	17	0	59
51-002	99.00%	0	2	2	6	2	1	0	13
51-003	99.00%	1	1	3	10	13	5	0	33
51-004	99.00%	1	0	2	3	5	1	0	12
51-005	83.33%	2	6	16	30	35	16	2	107
51-006	99.00%	1	1	3	27	35	6	0	73
51-010	99.00%	0	0	0	1	1	0	0	2
51-011	99.00%	5	25	17	7	121	21	0	196
51-012	99.00%	5	24	8	6	91	26	0	160
51-013	99.00%	3	13	16	3	85	26	0	146
51-014	99.00%	0	0	3	5	2	0	0	10
51-016	99.00%	9	2	31	14	21	7	1	85
51-017	99.00%	5	2	8	30	46	10	0	101
51-021	99.00%	1	3	2	3	23	4	0	36
51-023	99.00%	1	26	5	8	79	14	0	133
51-024	99.00%	10	3	16	7	18	9	1	64
51-025	99.00%	0	0	0	0	0	0	0	0
51-026	99.00%	5	2	13	8	15	4	0	47
51-027	57.14%	0	0	2	0	8	2	0	12
51-028	99.00%	1	1	2	8	15	0	0	27
51-029	99.00%	1	6	15	22	64	8	0	116
51-030	99.00%	2	3	3	11	15	5	0	39
51-031	99.00%	4	7	18	12	35	9	0	85
51-032	99.00%	1	5	30	16	34	12	1	99
51-033	99.00%	6	6	20	24	61	25	0	142
51-034	99.00%	1	1	2	11	15	3	0	33
51-035	99.00%	5	3	17	14	84	23	0	146
51-036	99.00%	2	4	6	0	22	5	0	39
51-037	99.00%	3	1	3	2	10	12	0	31
51-038	99.00%	2	4	2	3	33	11	0	55
51-039	99.00%	5	9	19	11	78	43	0	165
51-040	99.00%	0	5	2	4	26	6	3	46
51-041	99.00%	1	1	3	4	33	6	0	48
51-042	99.00%	2	31	16	6	106	29	1	191
51-048	99.00%	0	0	0	0	0	0	0	0
51-049	50.00%	2	35	4	0	24	5	0	70
51-050	99.00%	3	3	12	3	30	7	0	58
51-051	99.00%	1	1	4	0	4	2	0	12
51-052	99.00%	1	0	1	1	3	2	0	8
51-053	99.00%	0	0	3	0	12	1	0	16
51-054	50.00%	1	7	2	0	9	1	0	20
51-055	99.00%	3	6	8	5	89	12	0	123
51-056	99.00%	0	0	0	0	0	0	0	0
51-057	99.00%	0	0	0	0	0	0	0	0
51-058	99.00%	1	1	3	3	14	0	1	23
51-063	99.00%	11	11	16	26	44	12	2	122
51-064	99.00%	3	3	4	9	24	9	0	52
51-065	99.00%	7	5	9	10	16	10	0	57
51-066	99.00%	3	4	10	10	45	10	0	82
51-067	99.00%	4	1	8	4	24	11	0	52
51-068	50.00%	0	6	0	1	9	1	0	17
51-069	99.00%	3	9	1	4	7	2	0	26
51-070	99.00%	7	25	1	10	14	7	0	64
51-071	99.00%	8	23	8	11	27	7	0	84
51-072	99.00%	3	54	2	4	42	8	1	114
51-073	50.00%	0	15	2	1	12	2	1	33
51-074	50.00%	1	10	1	2	4	1	0	19
51-075	99.00%	2	3	17	27	40	11	0	100
