ad_ed	reporting	candidate|Mamnun M. Haq	candidate|Douglas M. Schneider	candidate|Brandon West	candidate|Shahana K. Hanif	candidate|Briget Rein	candidate|Justin M. Krebs	candidate|Jessica Simmons	candidate|Write-In	total
42-001	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-001	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-002	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-003	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-004	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-005	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-006	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-007	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-008	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-010	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-011	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-013	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-014	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-015	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-016	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-017	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-018	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-019	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-020	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-042	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-044	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-045	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-049	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-050	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-051	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-052	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-053	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-054	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-055	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-056	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-057	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-058	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-059	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-060	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-061	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-062	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-063	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-064	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-068	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-069	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-070	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-071	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-072	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-073	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-074	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-075	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-076	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-077	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-078	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-079	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-080	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-081	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-082	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-083	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-084	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-085	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-086	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-088	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-089	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44-092	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48-008	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48-011	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48-015	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-007	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-008	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-009	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-015	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-019	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-020	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-022	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-043	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-044	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-045	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-046	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-084	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-026	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-035	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-036	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-037	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-038	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-039	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-040	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-041	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-042	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-043	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-044	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-045	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-046	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-047	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-057	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-058	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-059	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-060	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-061	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-062	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-064	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-065	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-066	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-067	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-068	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-069	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-070	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-071	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-072	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-076	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-078	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-079	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-080	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-081	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-082	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-083	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-084	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-085	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-086	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-087	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-088	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-089	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-090	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-091	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-092	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-093	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-094	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-095	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-096	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-097	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-098	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-099	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-100	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-101	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-103	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-110	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-111	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-112	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-114	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-116	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-119	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-123	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52-126	0.00%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
