ad_ed	total_reg_dems	absentee_requested	total	reporting	candidate|Walter T. Mosley III	candidate|Phara Souffrant Forrest	candidate|Write-In	absentee|Phara Souffrant Forrest	absentee|Walter T. Mosley III	absentee|Write-In	totalAbsentee
57-001	696	55	68	99.00%	53	15	0	9	16	0	25
57-002	849	60	118	99.00%	98	20	0	5	14	0	19
57-003	732	43	111	99.00%	92	18	1	4	11	0	15
57-004	346	108	77	99.00%	32	45	0	38	18	0	56
57-005	198	19	32	99.00%	27	5	0	4	3	0	7
57-006	780	60	16	99.00%	13	3	0	20	69	0	89
57-007	599	34	52	99.00%	48	4	0	2	9	0	11
57-008	724	89	71	99.00%	48	22	1	27	16	0	43
57-009	733	136	132	99.00%	75	57	0	32	37	0	69
57-010	1104	392	213	99.00%	124	88	1	114	103	0	217
57-011	759	162	121	99.00%	87	34	0	36	67	0	103
57-012	775	54	21	99.00%	17	4	0	19	97	0	116
57-013	730	40	19	99.00%	17	2	0	26	66	1	93
57-014	750	187	89	99.00%	42	47	0	70	48	0	118
57-015	701	203	130	99.00%	57	73	0	92	47	0	139
57-016	871	276	204	99.00%	114	90	0	123	59	0	182
57-017	980	336	218	99.00%	140	78	0	124	86	0	210
57-018	885	263	224	99.00%	151	72	1	67	91	0	158
57-019	429	40	91	99.00%	62	19	10	15	7	0	22
57-020	40	5	0	99.00%	0	0	0	0	0	0	0
57-021	950	206	155	99.00%	56	98	0	100	24	0	123
57-022	846	156	158	99.00%	84	67	7	77	22	1	100
57-023	642	57	23	99.00%	0	23	0	29	4	0	33
57-024	814	255	169	99.00%	88	81	0	96	72	0	168
57-025	1230	410	233	99.00%	92	141	0	164	78	0	242
57-026	853	278	180	99.00%	90	89	1	135	61	0	196
57-027	690	198	39	99.00%	12	27	0	144	85	0	229
57-028	628	175	44	99.00%	24	20	0	147	96	0	243
57-029	739	228	87	99.00%	51	36	0	144	140	0	284
57-030	605	149	207	99.00%	170	37	0	25	44	0	69
57-031	1017	259	350	99.00%	293	57	0	44	75	0	119
57-032	688	51	90	99.00%	75	15	0	1	8	0	9
57-033	498	32	74	99.00%	59	15	0	1	5	0	6
57-034	879	299	87	99.00%	58	29	0	167	155	0	322
57-035	946	259	42	99.00%	23	19	0	173	124	0	297
57-036	976	240	188	99.00%	76	112	0	131	29	0	160
57-037	827	181	135	99.00%	57	78	0	93	14	0	107
57-038	939	305	194	99.00%	71	123	0	151	62	0	213
57-039	920	265	42	99.00%	27	15	0	189	146	0	335
57-040	798	226	52	99.00%	25	27	0	165	125	0	290
57-041	887	244	44	99.00%	18	26	0	202	141	1	344
57-042	781	166	44	99.00%	24	20	0	136	133	0	269
57-043	1072	355	211	99.00%	85	126	0	144	92	0	236
57-044	896	201	188	99.00%	112	76	0	72	47	0	119
57-045	853	148	182	99.00%	122	60	0	40	56	0	96
57-046	698	100	152	99.00%	119	33	0	26	23	0	49
57-047	517	190	92	99.00%	36	56	0	98	34	1	133
57-048	842	234	207	99.00%	92	113	2	99	59	0	158
57-049	900	207	216	99.00%	88	128	0	106	45	0	151
57-050	761	181	159	99.00%	68	90	1	101	35	0	136
57-051	862	199	173	99.00%	66	107	0	107	24	0	131
57-052	731	124	122	99.00%	50	72	0	50	21	0	71
57-053	729	128	171	99.00%	85	86	0	44	24	0	68
57-054	1028	233	256	99.00%	118	136	2	99	39	0	138
57-055	812	143	135	99.00%	63	72	0	78	21	0	99
57-056	971	214	178	99.00%	75	103	0	101	35	0	136
57-057	789	184	105	99.00%	42	63	0	126	51	0	177
57-058	771	174	169	99.00%	61	108	0	82	25	0	107
57-059	807	164	113	99.00%	43	70	0	77	25	0	102
57-060	683	193	88	99.00%	33	55	0	122	27	0	149
57-061	1199	459	217	99.00%	89	128	0	176	91	0	267
57-062	520	197	85	99.00%	36	49	0	92	34	0	126
57-063	715	243	132	99.00%	54	78	0	93	73	0	166
57-064	956	333	182	99.00%	72	110	0	174	64	0	238
57-065	591	253	146	99.00%	39	107	0	139	37	1	177
57-066	749	195	166	99.00%	66	100	0	90	36	0	126
57-067	800	199	163	99.00%	74	89	0	78	26	0	104
57-068	966	240	211	99.00%	89	122	0	109	38	0	147
57-069	994	238	229	99.00%	88	141	0	101	46	0	147
57-070	1018	322	226	99.00%	90	135	1	141	65	0	206
57-071	581	211	95	99.00%	49	46	0	76	65	0	141
57-072	966	283	150	99.00%	60	90	0	162	54	0	216
57-073	583	187	126	99.00%	57	69	0	88	37	0	125
