ad_ed	total_reg_dems	absentee_requested	total	reporting	candidate|Tomas Ramos	candidate|Samelys López	candidate|Frangell Basora	candidate|Melissa Mark-Viverito	candidate|Michael A. Blake	candidate|Rubén Díaz	candidate|Mark Escoffery-Bey	candidate|Ritchie Torres	candidate|Chivona R. Newsome	candidate|Ydanis Rodriguez	candidate|Julio Pabón	candidate|Marlene J. Tapper	candidate|Write-In
77-001	384	59	36	99.00%	2	3	0	6	10	1	0	9	2	3	0	0	0
77-002	393	46	55	99.00%	1	6	0	4	10	7	0	18	1	8	0	0	0
77-003	897	116	144	99.00%	2	25	0	9	13	17	1	39	10	25	0	3	0
77-004	777	84	122	99.00%	5	23	0	5	15	24	0	26	2	21	1	0	0
77-005	833	101	145	99.00%	2	17	0	3	18	24	0	58	4	18	1	0	0
77-006	829	147	112	99.00%	2	18	0	4	24	14	0	33	3	14	0	0	0
77-007	1062	131	133	99.00%	3	15	1	6	24	12	0	36	2	33	0	1	0
77-008	835	112	97	99.00%	0	10	0	2	18	13	1	33	2	17	0	1	0
77-009	887	105	105	99.00%	6	10	2	3	26	15	0	27	2	13	0	1	0
77-010	753	115	164	99.00%	3	22	0	2	30	13	1	51	2	40	0	0	0
77-011	914	105	152	99.00%	4	20	0	3	17	14	0	33	1	58	0	0	2
77-012	654	101	87	99.00%	3	20	0	8	11	8	0	26	3	8	0	0	0
77-013	626	85	104	99.00%	6	14	0	3	18	11	0	25	3	21	0	2	1
77-014	855	147	114	99.00%	4	21	0	5	9	8	0	27	3	35	0	0	2
77-015	492	43	61	99.00%	4	13	0	4	10	11	0	10	1	8	0	0	0
77-016	654	94	121	99.00%	6	11	0	2	21	9	0	44	2	24	0	1	1
77-017	322	45	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
77-018	1067	160	101	99.00%	3	15	0	2	15	6	1	30	2	26	0	1	0
77-019	904	117	98	99.00%	1	12	0	5	10	15	0	30	1	21	1	0	2
77-020	794	94	88	99.00%	2	13	0	4	8	9	0	22	3	24	1	1	1
77-021	887	116	93	99.00%	2	12	2	4	16	15	0	22	1	16	1	1	1
77-022	908	119	138	99.00%	7	25	2	5	24	17	0	28	0	28	1	0	1
77-032	831	159	112	99.00%	3	16	0	1	20	21	1	24	0	23	0	2	1
77-033	668	142	96	99.00%	4	12	0	1	15	10	0	18	0	35	0	1	0
77-034	818	168	88	99.00%	2	10	0	3	15	14	0	18	2	23	0	1	0
77-035	547	81	46	99.00%	6	7	0	4	8	5	0	6	1	9	0	0	0
77-036	814	134	117	99.00%	2	13	0	4	46	9	1	24	2	16	0	0	0
77-037	692	124	107	99.00%	5	14	0	4	17	28	1	20	0	17	1	0	0
77-038	520	137	131	99.00%	6	12	0	6	21	13	0	31	2	39	0	1	0
77-039	914	91	118	99.00%	4	28	0	4	12	15	0	26	3	25	1	0	0
77-040	597	62	98	99.00%	3	19	0	4	13	15	0	27	1	13	0	2	1
77-041	666	78	100	99.00%	5	22	1	5	3	17	1	19	0	24	0	3	0
77-042	910	69	118	99.00%	3	18	1	5	17	24	0	25	5	18	1	1	0
77-043	894	113	112	99.00%	2	15	1	3	27	16	4	19	1	21	1	2	0
