ad_ed	total_reg_dems	absentee_requested	total	reporting	candidate|Julia Salazar	candidate|Andy J. Marte	candidate|Write-In	absentee|Andy J. Marte	absentee|Julia Salazar	absentee|Write-In	totalAbsentee
50-003	1146	316	197	99.00%	175	22	0	10	160	0	170
50-004	491	139	55	99.00%	50	5	0	1	91	1	93
50-005	775	237	148	99.00%	141	7	0	12	136	2	150
50-006	813	242	117	99.00%	109	7	1	8	149	0	157
50-007	564	160	101	99.00%	93	8	0	6	88	0	94
50-008	741	244	127	99.00%	118	9	0	7	120	1	128
50-009	693	207	142	99.00%	120	22	0	13	124	0	137
50-011	618	33	84	99.00%	50	33	1	5	4	0	9
50-012	671	228	99	99.00%	90	9	0	9	126	0	135
50-015	504	164	83	99.00%	78	5	0	9	76	0	85
50-016	792	67	126	99.00%	81	45	0	2	7	0	9
50-017	760	86	127	99.00%	78	47	2	3	41	0	44
50-018	510	142	112	99.00%	107	5	0	8	67	0	75
50-019	626	232	139	99.00%	134	5	0	5	121	1	127
50-020	601	217	114	99.00%	103	9	2	7	115	1	123
50-021	806	256	147	99.00%	136	10	1	10	123	1	134
50-022	493	138	100	99.00%	91	9	0	2	72	0	74
50-023	65	15	0	99.00%	0	0	0	0	0	0	0
50-025	262	57	34	99.00%	28	6	0	2	29	0	31
50-043	589	183	99	99.00%	88	11	0	7	93	0	100
50-044	577	158	89	99.00%	76	12	1	9	82	0	91
50-045	135	34	19	99.00%	15	4	0	2	18	1	21
50-046	743	190	130	99.00%	118	12	0	10	91	0	101
50-049	358	58	53	99.00%	48	5	0	3	33	0	36
50-050	688	116	106	99.00%	95	11	0	3	49	0	52
50-051	871	93	98	99.00%	92	6	0	6	35	0	41
50-052	782	91	117	99.00%	105	12	0	3	30	0	33
50-053	555	124	64	99.00%	60	4	0	9	69	0	78
50-054	499	74	65	99.00%	53	12	0	3	26	0	29
50-056	302	19	17	99.00%	14	3	0	0	41	0	41
50-057	627	53	93	99.00%	72	19	2	3	15	0	18
